time,open,high,low,close,Volume
2017-08-10,0.7579,0.7579,0.7455,0.7459,367
2017-08-11,0.746,0.7464,0.7434,0.7457,510
2017-08-14,0.7459,0.7489,0.7457,0.7489,707
2017-08-15,0.7503,0.7509,0.748,0.748,946
2017-08-16,0.7477,0.7484,0.7451,0.7481,1065
2017-08-17,0.7485,0.7497999999999999,0.7445,0.7446,1134
2017-08-18,0.7415,0.7435,0.7411,0.7429,2490
2017-08-21,0.7427999999999999,0.7434,0.7416,0.7417999999999999,2601
2017-08-22,0.7415,0.7417,0.7386,0.7387,3128
2017-08-23,0.7385,0.7397,0.737,0.7387999999999999,5824
2017-08-24,0.7395,0.7424,0.7386,0.7416,6563
2017-08-25,0.7417,0.7433,0.7417,0.7431,5386
2017-08-28,0.7434,0.751,0.743,0.751,5662
2017-08-29,0.7517999999999999,0.7529,0.747,0.747,5223
2017-08-30,0.7487,0.7526,0.7483,0.7526,4413
2017-08-31,0.753,0.7605,0.7527999999999999,0.7581,5359
2017-09-01,0.7587999999999999,0.7622000000000001,0.7586,0.762,5720
2017-09-05,0.7619,0.7637999999999999,0.7605,0.763,4580
2017-09-06,0.7623,0.7635,0.7613,0.7635,4564
2017-09-07,0.7635,0.7739,0.7633,0.77,6142
2017-09-08,0.771,0.7764,0.7709,0.7751,6318
2017-09-11,0.7747999999999999,0.7796000000000001,0.769,0.769,7003
2017-09-12,0.769,0.7727999999999999,0.7667,0.7726000000000001,9529
2017-09-13,0.7739,0.7785,0.7737,0.7785,7169
2017-09-14,0.779,0.7855,0.779,0.7845,7736
2017-09-15,0.7846000000000001,0.7865,0.7823,0.7845,7175
2017-09-18,0.7852,0.7932,0.7852,0.7918999999999999,6221
2017-09-19,0.7921,0.7958999999999999,0.7921,0.7925,6312
2017-09-20,0.7925,0.7933,0.7891,0.7898999999999999,6765
2017-09-21,0.7898999999999999,0.7907000000000001,0.786,0.7872,4674
2017-09-22,0.786,0.7877000000000001,0.7844,0.7856000000000001,6515
